2024-11-11 22:07:29,123 - INFO: Elster EK-280 : Total sets processed: 27, Successful rows: 11, Errors: 16
2024-11-12 22:00:03,019 - INFO: Actaris(G2) : Total sets processed: 0, Successful rows: 0, Errors: 0
2024-11-12 22:00:06,289 - INFO: Actaris(U) : Total sets processed: 1, Successful rows: 0, Errors: 1
2024-11-12 22:00:54,111 - INFO: Actaris(G4) : Total sets processed: 4, Successful rows: 0, Errors: 4
2024-11-12 22:00:56,473 - INFO: Actaris(G1) : Total sets processed: 3, Successful rows: 0, Errors: 3
2024-11-12 22:01:37,489 - INFO: Actaris(G3) : Total sets processed: 8, Successful rows: 1, Errors: 7
2024-11-12 22:06:56,743 - INFO: Elster EK-280 : Total sets processed: 26, Successful rows: 11, Errors: 15
2024-11-13 22:00:03,952 - INFO: Actaris(G2) : Total sets processed: 0, Successful rows: 0, Errors: 0
2024-11-13 22:00:06,104 - INFO: Actaris(U) : Total sets processed: 1, Successful rows: 0, Errors: 1
2024-11-13 22:01:02,657 - INFO: Actaris(G1) : Total sets processed: 3, Successful rows: 0, Errors: 3
2024-11-13 22:01:10,334 - INFO: Actaris(G3) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-13 22:01:39,163 - INFO: Actaris(G4) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-13 22:07:40,502 - INFO: Elster EK-280 : Total sets processed: 29, Successful rows: 11, Errors: 18
2024-11-14 22:00:03,603 - INFO: Actaris(G2) : Total sets processed: 0, Successful rows: 0, Errors: 0
2024-11-14 22:00:06,361 - INFO: Actaris(U) : Total sets processed: 1, Successful rows: 0, Errors: 1
2024-11-14 22:01:11,874 - INFO: Actaris(G3) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-14 22:01:24,850 - INFO: Actaris(G4) : Total sets processed: 6, Successful rows: 0, Errors: 6
2024-11-14 22:01:25,487 - INFO: Actaris(G1) : Total sets processed: 4, Successful rows: 0, Errors: 4
2024-11-14 22:06:38,157 - INFO: Elster EK-280 : Total sets processed: 26, Successful rows: 11, Errors: 15
2024-11-15 22:00:05,868 - INFO: Actaris(U) : Total sets processed: 1, Successful rows: 0, Errors: 1
2024-11-15 22:00:43,441 - INFO: Actaris(G2) : Total sets processed: 1, Successful rows: 1, Errors: 0
2024-11-15 22:01:11,877 - INFO: Actaris(G3) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-15 22:01:22,890 - INFO: Actaris(G4) : Total sets processed: 6, Successful rows: 0, Errors: 6
2024-11-15 22:02:37,202 - INFO: Actaris(G1) : Total sets processed: 5, Successful rows: 2, Errors: 3
2024-11-15 22:06:46,917 - INFO: Elster EK-280 : Total sets processed: 26, Successful rows: 9, Errors: 17
2024-11-16 22:00:04,072 - INFO: Actaris(G2) : Total sets processed: 0, Successful rows: 0, Errors: 0
2024-11-16 22:00:06,199 - INFO: Actaris(U) : Total sets processed: 1, Successful rows: 0, Errors: 1
2024-11-16 22:00:52,597 - INFO: Actaris(G1) : Total sets processed: 3, Successful rows: 0, Errors: 3
2024-11-16 22:01:14,630 - INFO: Actaris(G3) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-16 22:01:23,411 - INFO: Actaris(G4) : Total sets processed: 6, Successful rows: 0, Errors: 6
2024-11-16 22:07:44,225 - INFO: Elster EK-280 : Total sets processed: 29, Successful rows: 11, Errors: 18
2024-11-17 22:00:04,034 - INFO: Actaris(G2) : Total sets processed: 0, Successful rows: 0, Errors: 0
2024-11-17 22:00:06,547 - INFO: Actaris(U) : Total sets processed: 1, Successful rows: 0, Errors: 1
2024-11-17 22:01:11,783 - INFO: Actaris(G3) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-17 22:01:21,788 - INFO: Actaris(G4) : Total sets processed: 6, Successful rows: 0, Errors: 6
2024-11-17 22:03:00,032 - INFO: Actaris(G1) : Total sets processed: 7, Successful rows: 2, Errors: 5
2024-11-17 22:06:54,132 - INFO: Elster EK-280 : Total sets processed: 26, Successful rows: 11, Errors: 15
2024-11-18 22:00:04,258 - INFO: Actaris(G2) : Total sets processed: 0, Successful rows: 0, Errors: 0
2024-11-18 22:00:07,042 - INFO: Actaris(U) : Total sets processed: 1, Successful rows: 0, Errors: 1
2024-11-18 22:01:11,976 - INFO: Actaris(G3) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-18 22:02:08,311 - INFO: Actaris(G4) : Total sets processed: 9, Successful rows: 0, Errors: 9
2024-11-18 22:02:09,674 - INFO: Actaris(G1) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-18 22:07:39,553 - INFO: Elster EK-280 : Total sets processed: 29, Successful rows: 11, Errors: 18
2024-11-19 22:00:03,786 - INFO: Actaris(G2) : Total sets processed: 0, Successful rows: 0, Errors: 0
2024-11-19 22:00:06,999 - INFO: Actaris(U) : Total sets processed: 1, Successful rows: 0, Errors: 1
2024-11-19 22:01:11,829 - INFO: Actaris(G1) : Total sets processed: 4, Successful rows: 0, Errors: 4
2024-11-19 22:01:12,156 - INFO: Actaris(G3) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-19 22:01:24,010 - INFO: Actaris(G4) : Total sets processed: 6, Successful rows: 0, Errors: 6
2024-11-19 22:03:55,841 - INFO: Elster EK-280 : Total sets processed: 17, Successful rows: 3, Errors: 14
2024-11-20 22:00:04,498 - INFO: Actaris(G2) : Total sets processed: 0, Successful rows: 0, Errors: 0
2024-11-20 22:00:06,443 - INFO: Actaris(U) : Total sets processed: 1, Successful rows: 0, Errors: 1
2024-11-20 22:01:11,237 - INFO: Actaris(G3) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-20 22:01:24,724 - INFO: Actaris(G4) : Total sets processed: 6, Successful rows: 0, Errors: 6
2024-11-20 22:01:52,512 - INFO: Actaris(G1) : Total sets processed: 6, Successful rows: 0, Errors: 6
2024-11-20 22:04:05,059 - INFO: Elster EK-280 : Total sets processed: 17, Successful rows: 3, Errors: 14
2024-11-21 22:00:04,202 - INFO: Actaris(G2) : Total sets processed: 0, Successful rows: 0, Errors: 0
2024-11-21 22:00:05,710 - INFO: Actaris(U) : Total sets processed: 1, Successful rows: 0, Errors: 1
2024-11-21 22:01:11,660 - INFO: Actaris(G3) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-21 22:02:08,938 - INFO: Actaris(G4) : Total sets processed: 9, Successful rows: 0, Errors: 9
2024-11-21 22:02:24,216 - INFO: Actaris(G1) : Total sets processed: 7, Successful rows: 0, Errors: 7
2024-11-21 22:04:36,616 - INFO: Elster EK-280 : Total sets processed: 19, Successful rows: 2, Errors: 17
2024-11-22 22:00:03,691 - INFO: Actaris(G2) : Total sets processed: 0, Successful rows: 0, Errors: 0
2024-11-22 22:00:06,384 - INFO: Actaris(U) : Total sets processed: 1, Successful rows: 0, Errors: 1
2024-11-22 22:01:10,628 - INFO: Actaris(G3) : Total sets processed: 7, Successful rows: 0, Errors: 7
